rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Janet Jackson,Escapade,NA,NA,NA,2,2LAST WEEK ,7WEEKS ON CHART
2,2,Roxette,Dangerous,3,12,NA,NA,NA,NA
3,1,Paula Abdul (Duet With The Wild Pair),Opposites Attract,1,12,NA,NA,NA,NA
4,4,The B-52s,Roam,6,11,NA,NA,NA,NA
5,4,Milli Vanilli,All Or Nothing,4,9,NA,NA,NA,NA
6,6,Gloria Estefan,Here We Are,8,12,NA,NA,NA,NA
7,7,Bad English,Price Of Love,10,11,NA,NA,NA,NA
8,8,The Cover Girls,We Can't Go Wrong,9,13,NA,NA,NA,NA
9,9,Alannah Myles,Black Velvet,12,9,NA,NA,NA,NA
10,10,Michel'le,No More Lies,11,16,NA,NA,NA,NA
11,11,Billy Joel,I Go To Extremes,13,8,NA,NA,NA,NA
12,12,Richard Marx,Too Late To Say Goodbye,15,7,NA,NA,NA,NA
13,13,D-Mob Introducing Cathy Dennis,C'mon And Get My Love,16,12,NA,NA,NA,NA
14,14, Biz Markie,Just A Friend,17,7,NA,NA,NA,NA
15,15,Taylor Dayne,Love Will Lead You Back,18,6,NA,NA,NA,NA
16,2,Seduction,Two To Make It Right,7,17,NA,NA,NA,NA
17,5,Chicago,What Kind Of Man Would I Be?,5,14,NA,NA,NA,NA
18,18,Michael Penn,No Myth,21,9,NA,NA,NA,NA
19,19,Phil Collins,I Wish It Would Rain Down,23,5,NA,NA,NA,NA
20,20,Warrant,Sometimes She Cries,22,9,NA,NA,NA,NA
21,21,Technotronic,Get Up! (Before The Night Is Over),26,6,NA,NA,NA,NA
22,22,Elton John,Sacrifice,25,8,NA,NA,NA,NA
23,23,Madonna,Keep It Together,28,5,NA,NA,NA,NA
24,24,Luther Vandross,Here And Now,27,11,NA,NA,NA,NA
25,25,Lisa Stansfield,All Around The World,31,5,NA,NA,NA,NA
26,4,Aerosmith,Janie's Got A Gun,14,15,NA,NA,NA,NA
27,27,Tommy Page,I'll Be Your Everything,38,3,NA,NA,NA,NA
28,28,Depeche Mode ,Personal Jesus,29,13,NA,NA,NA,NA
29,29,Linda Ronstadt (Featuring Aaron Neville),All My Life,34,4,NA,NA,NA,NA
30,30,Belinda Carlisle,Summer Rain,32,7,NA,NA,NA,NA
31,31,Whitesnake,The Deeper The Love,33,7,NA,NA,NA,NA
32,32,KISS,Forever,36,5,NA,NA,NA,NA
33,3,Rod Stewart,Downtown Train,19,15,NA,NA,NA,NA
34,34,Kevin Paige,Anything I Want,37,7,NA,NA,NA,NA
35,1,Michael Bolton,How Am I Supposed To Live Without You,24,19,NA,NA,NA,NA
36,36,A'me Lorain,"Whole Wide World (From ""True Love"")",39,7,NA,NA,NA,NA
37,37,Jane Child,Don't Wanna Fall In Love,43,4,NA,NA,NA,NA
38,9,Expose,Tell Me Why,20,13,NA,NA,NA,NA
39,39,Joan Jett,Dirty Deeds,41,6,NA,NA,NA,NA
40,6,Skid Row,I Remember You,30,16,NA,NA,NA,NA
41,41,The Smithereens,A Girl Like You,45,13,NA,NA,NA,NA
42,2,Technotronic Featuring Felly,Pump Up The Jam,35,21,NA,NA,NA,NA
43,43,Stevie B,Love Me For Life,48,5,NA,NA,NA,NA
44,10,Tesla,Love Song,40,23,NA,NA,NA,NA
45,44,Jaya,If You Leave Me Now,46,21,NA,NA,NA,NA
46,46,Calloway,I Wanna Be Rich,56,4,NA,NA,NA,NA
47,47,Skyy, Real Love,52,7,NA,NA,NA,NA
48,48,The Brat Pack,You're The Only Woman,55,5,NA,NA,NA,NA
49,49,Motley Crue,Without You,66,2,NA,NA,NA,NA
50,2,Linda Ronstadt (Featuring Aaron Neville),Don't Know Much,50,23,NA,NA,NA,NA
51,4,Soul II Soul,Back To Life,51,24,NA,NA,NA,NA
52,4,Jody Watley,Everything,42,21,NA,NA,NA,NA
53,53,The Rolling Stones,Almost Hear You Sigh,58,4,NA,NA,NA,NA
54,54,Cher,Heart Of Stone,61,4,NA,NA,NA,NA
55,7,Tom Petty,Free Fallin',47,18,NA,NA,NA,NA
56,56,The U-Krew,If U Were Mine,60,6,NA,NA,NA,NA
57,57,Don Henley,The Heart Of The Matter,63,3,NA,NA,NA,NA
58,24,Michael Damian,Was It Nothing At All,53,19,NA,NA,NA,NA
59,59,Lou Gramm,True Blue Love,68,3,NA,NA,NA,NA
60,60,Seduction,Heartbeat,69,2,NA,NA,NA,NA
61,61,Midnight Oil,Blue Sky Mine,67,3,NA,NA,NA,NA
62,62,Enuff Z'Nuff,Fly High Michelle,62,6,NA,NA,NA,NA
63,7,Young M.C.,Bust A Move,59,32,NA,NA,NA,NA
64,6,Lou Gramm,Just Between You And Me,49,19,NA,NA,NA,NA
65,11,Eddie Money,Peace In Our Time,44,14,NA,NA,NA,NA
66,56,Alice Cooper,House Of Fire,57,7,NA,NA,NA,NA
67,67,Linear,Sending All My Love,82,3,NA,NA,NA,NA
68,NA,Michael Bolton,How Can We Be Lovers,NA,NA,NA,NA,NA,NA
69,26,The 2 Live Crew,Me So Horny,64,26,NA,NA,NA,NA
70,70,Leila K With Rob 'N' Raz,Got To Get,76,3,NA,NA,NA,NA
71,NA,Kaoma,Lambada,NA,NA,NA,NA,NA,NA
72,72,"Joyce ""Fenderella"" Irby",I'll Be There,72,3,NA,NA,NA,NA
73,NA,Tom Petty,A Face In The Crowd,NA,NA,NA,NA,NA,NA
74,74,McAuley Schenker Group,Anytime,79,3,NA,NA,NA,NA
75,75,Natalie Cole,"Wild Women Do (From ""Pretty Woman"")",84,2,NA,NA,NA,NA
76,76,Anything Box,Living In Oblivion,81,3,NA,NA,NA,NA
77,14,Babyface,Tender Lover,54,16,NA,NA,NA,NA
78,1,Milli Vanilli,Blame It On The Rain,71,22,NA,NA,NA,NA
79,79,Regina Belle,Make It Like It Was,96,2,NA,NA,NA,NA
80,11,Jive Bunny & The Mastermixers,Swing The Mood,70,19,NA,NA,NA,NA
81,81,Babyface,Whip Appeal,90,2,NA,NA,NA,NA
82,82,John Farnham,You're The Voice,85,4,NA,NA,NA,NA
83,27,Motley Crue,Kickstart My Heart,73,15,NA,NA,NA,NA
84,11,Joe Cocker,When The Night Comes,75,19,NA,NA,NA,NA
85,40,Shana,I Want You,83,22,NA,NA,NA,NA
86,1,Phil Collins,Another Day In Paradise,65,18,NA,NA,NA,NA
87,87,Mantronix Featuring Wondress,Got To Have Your Love,91,2,NA,NA,NA,NA
88,88,Yvonne,There's A Party Going On,88,6,NA,NA,NA,NA
89,89,Faster Pussycat,House Of Pain,89,2,NA,NA,NA,NA
90,90,Fine Young Cannibals,I'm Not Satisfied,92,2,NA,NA,NA,NA
91,69,Jive Bunny & The Mastermixers, That's What I Like,74,5,NA,NA,NA,NA
92,NA,Inner City,Whatcha Gonna Do With My Lovin',NA,NA,NA,NA,NA,NA
93,18,Quincy Jones Featuring Ray Charles & Chaka Khan,I'll Be Good To You,80,16,NA,NA,NA,NA
94,74,Sybil,Walk On By,77,6,NA,NA,NA,NA
95,NA,Xymox,Imagination,NA,NA,NA,NA,NA,NA
96,3,The B-52s,Love Shack,86,27,NA,NA,NA,NA
97,55,Bonham,Wait For You,94,15,NA,NA,NA,NA
98,36, Tears For Fears,Woman In Chains,78,14,NA,NA,NA,NA
99,2,Janet Jackson,Rhythm Nation,93,17,NA,NA,NA,NA
100,86,The Chimes,1-2-3,87,5,NA,NA,NA,NA
